Time,Value
0.000000,89.000000
0.000010,89.000000
0.000020,89.000000
0.000030,89.000000
0.000040,89.000000
0.000050,89.000000
0.000060,89.000000
0.000070,89.000000
0.000080,89.000000
0.000090,89.000000
0.000100,89.000000
0.000110,89.000000
0.000120,89.000000
0.000130,89.000000
0.000140,89.000000
0.000150,89.000000
0.000160,89.000000
0.000170,89.000000
0.000180,89.000000
0.000190,89.000000
0.000200,89.000000
0.000210,89.000000
0.000220,89.000000
0.000230,89.000000
0.000240,89.000000
0.000250,89.000000
0.000260,89.000000
0.000270,89.000000
0.000280,89.000000
0.000290,89.000000
0.000300,89.000000
0.000310,89.000000
0.000320,89.000000
0.000330,89.000000
0.000340,89.000000
0.000350,89.000000
0.000360,89.000000
0.000370,89.000000
0.000380,89.000000
0.000390,89.000000
0.000400,89.000000
0.000410,89.000000
0.000420,89.000000
0.000430,89.000000
0.000440,89.000000
0.000450,89.000000
0.000460,89.000000
0.000470,89.000000
0.000480,89.000000
0.000490,89.000000
0.000500,89.000000
0.000510,89.000000
0.000520,89.000000
0.000530,89.000000
0.000540,89.000000
0.000550,89.000000
0.000560,89.000000
0.000570,89.000000
0.000580,89.000000
0.000590,89.000000
0.000600,89.000000
0.000610,89.000000
0.000620,89.000000
0.000630,89.000000
0.000640,89.000000
0.000650,89.000000
0.000660,89.000000
0.000670,89.000000
0.000680,89.000000
0.000690,89.000000
0.000700,89.000000
0.000710,89.000000
0.000720,89.000000
0.000730,89.000000
0.000740,89.000000
0.000750,89.000000
0.000760,89.000000
0.000770,89.000000
0.000780,89.000000
0.000790,89.000000
0.000800,89.000000
0.000810,89.000000
0.000820,89.000000
0.000830,89.000000
0.000840,89.000000
0.000850,89.000000
0.000860,89.000000
0.000870,89.000000
0.000880,89.000000
0.000890,89.000000
0.000900,89.000000
0.000910,89.000000
0.000920,89.000000
0.000930,89.000000
0.000940,89.000000
0.000950,89.000000
0.000960,89.000000
0.000970,89.000000
0.000980,89.000000
0.000990,89.000000
0.001000,89.000000
0.001010,89.000000
0.001020,89.000000
0.001030,89.000000
0.001040,89.000000
0.001050,89.000000
0.001060,89.000000
0.001070,89.000000
0.001080,89.000000
0.001090,89.000000
0.001100,89.000000
0.001110,89.000000
0.001120,89.000000
0.001130,89.000000
0.001140,89.000000
0.001150,89.000000
0.001160,89.000000
0.001170,89.000000
0.001180,89.000000
0.001190,89.000000
0.001200,89.000000
0.001210,89.000000
0.001220,89.000000
0.001230,89.000000
0.001240,89.000000
0.001250,89.000000
0.001260,89.000000
